circuitId,name,location,country,lat,lng,alt,Type,Direction,Last length used,Turns,Grands Prix,Season(s),Grands Prix held
52,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,214,Race circuit,Clockwise,4.265 km (2.650 mi),15,Canadian Grand Prix,"1968, 1970",2
53,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,81,Road circuit,Clockwise,6.542 km (4.065 mi),13,French Grand Prix,"1952, 1957, 1962, 1964, 1968",5
56,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15,Race circuit,Clockwise,3.920 km (2.436 mi),8,South African Grand Prix,"1962–1963, 1965",3
59,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28,Street circuit,Anti-clockwise,7.775 km (4.831 mi),15,Portuguese Grand Prix,"1958, 1960",2
60,Riverside International Raceway,California,USA,33.937,-117.273,470,Race circuit,Clockwise,5.271 km (3.275 mi),9,United States Grand Prix,1960,1
61,AVUS,Berlin,Germany,52.4806,13.2514,53,Road circuit,Anti-clockwise,8.300 km (5.157 mi),4,German Grand Prix,1959,1
63,Sebring International Raceway,Florida,USA,27.4547,-81.3483,18,Road circuit,Clockwise,8.356 km (5.192 mi),12,United States Grand Prix,1959,1
65,Pescara Circuit,Pescara,Italy,42.475,14.1508,129,Road circuit,Clockwise,25.800 km (16.031 mi),24*,Pescara Grand Prix,1957,1
66,Circuit Bremgarten,Bern,Switzerland,46.9589,7.40194,551,Road circuit,Clockwise,7.208 km (4.479 mi),14,Swiss Grand Prix,1950–1954,5
67,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85,Street circuit,Clockwise,6.316 km (3.925 mi),6,Spanish Grand Prix,"1951, 1954",2
68,Buddh International Circuit,Uttar Pradesh,India,28.3487,77.5331,194,Race circuit,Clockwise,5.141 km (3.194 mi),16,Indian Grand Prix,2011–2013,3
69,Circuit of the Americas,Austin,USA,30.1328,-97.6411,161,Race circuit,Anti-clockwise,5.513 km (3.426 mi),20,United States Grand Prix,"2012–2019, 2021–2023",11
70,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,678,Race circuit,Clockwise,4.318 km (2.683 mi),10,"Austrian Grand Prix,Styrian Grand Prix","1970–1987, 1997–2003, 2014–2024[c]",38
71,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,2,Race circuit,Clockwise,5.848 km (3.634 mi),15,Russian Grand Prix,2014–2021,8
73,Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,-7,Street circuit,Anti-clockwise,6.003 km (3.730 mi),20,"European Grand Prix,Azerbaijan Grand Prix","2016–2019, 2021–2023",7
75,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,108,Race circuit,Clockwise,4.653 km (2.891 mi),15,Portuguese Grand Prix,2020–2021,2
76,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,Race circuit,Clockwise,5.245 km (3.259 mi),14,Tuscan Grand Prix,2020,1
77,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,21.6319,39.1044,15,Street circuit,Anti-clockwise,6.174 km (3.836 mi),27,Saudi Arabian Grand Prix,2021–2024,4
78,Losail International Circuit,Al Daayen,Qatar,25.49,51.4542,12,Race circuit,Clockwise,5.419 km (3.367 mi),16,Qatar Grand Prix,"2021, 2023",2
79,Miami International Autodrome,Miami,USA,25.9581,-80.2389,0,Street circuit,Anti-clockwise,5.412 km (3.363 mi),18,Miami Grand Prix,2022–2024,3
