season,round,raceName,date,time,circuitId,circuit,location,country,long,lat
2017,7,Canadian Grand Prix,6/11/17,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,-73.5228,45.5
2017,8,Azerbaijan Grand Prix,6/25/17,13:00:00Z,baku,Baku City Circuit,Baku,Azerbaijan,49.8533,40.3725
2017,9,Austrian Grand Prix,7/9/17,12:00:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
2017,10,British Grand Prix,7/16/17,12:00:00Z,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
2017,11,Hungarian Grand Prix,7/30/17,12:00:00Z,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
2017,12,Belgian Grand Prix,8/27/17,12:00:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
2017,13,Italian Grand Prix,9/3/17,12:00:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
2017,14,Singapore Grand Prix,9/17/17,12:00:00Z,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,103.864,1.2914
2017,15,Malaysian Grand Prix,10/1/17,07:00:00Z,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,101.738,2.76083
2017,16,Japanese Grand Prix,10/8/17,05:00:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,136.541,34.8431
2017,17,United States Grand Prix,10/22/17,19:00:00Z,americas,Circuit of the Americas,Austin,USA,-97.6411,30.1328
2017,18,Mexican Grand Prix,10/29/17,19:00:00Z,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,-99.0907,19.4042
2017,19,Brazilian Grand Prix,11/12/17,16:00:00Z,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-46.6997,-23.7036
2017,20,Abu Dhabi Grand Prix,11/26/17,13:00:00Z,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,54.6031,24.4672
2018,1,Australian Grand Prix,3/25/18,05:10:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,144.968,-37.8497
2018,2,Bahrain Grand Prix,4/8/18,15:10:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,50.5106,26.0325
2018,3,Chinese Grand Prix,4/15/18,06:10:00Z,shanghai,Shanghai International Circuit,Shanghai,China,121.22,31.3389
2018,4,Azerbaijan Grand Prix,4/29/18,12:10:00Z,baku,Baku City Circuit,Baku,Azerbaijan,49.8533,40.3725
2018,5,Spanish Grand Prix,5/13/18,13:10:00Z,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2.26111,41.57
2018,6,Monaco Grand Prix,5/27/18,13:10:00Z,monaco,Circuit de Monaco,Monte-Carlo,Monaco,7.42056,43.7347
2018,7,Canadian Grand Prix,6/10/18,18:10:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,-73.5228,45.5
2018,8,French Grand Prix,6/24/18,14:10:00Z,ricard,Circuit Paul Ricard,Le Castellet,France,5.79167,43.2506
2018,9,Austrian Grand Prix,7/1/18,13:10:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
2018,10,British Grand Prix,7/8/18,13:10:00Z,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
2018,11,German Grand Prix,7/22/18,13:10:00Z,hockenheimring,Hockenheimring,Hockenheim,Germany,8.56583,49.3278
2018,12,Hungarian Grand Prix,7/29/18,13:10:00Z,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
2018,13,Belgian Grand Prix,8/26/18,13:10:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
2018,14,Italian Grand Prix,9/2/18,13:10:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
2018,15,Singapore Grand Prix,9/16/18,12:10:00Z,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,103.864,1.2914
2018,16,Russian Grand Prix,9/30/18,11:10:00Z,sochi,Sochi Autodrom,Sochi,Russia,39.9578,43.4057
2018,17,Japanese Grand Prix,10/7/18,05:10:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,136.541,34.8431
2018,18,United States Grand Prix,10/21/18,18:10:00Z,americas,Circuit of the Americas,Austin,USA,-97.6411,30.1328
2018,19,Mexican Grand Prix,10/28/18,19:10:00Z,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,-99.0907,19.4042
2018,20,Brazilian Grand Prix,11/11/18,17:10:00Z,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-46.6997,-23.7036
2018,21,Abu Dhabi Grand Prix,11/25/18,13:10:00Z,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,54.6031,24.4672
2019,1,Australian Grand Prix,3/17/19,05:10:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,144.968,-37.8497
2019,2,Bahrain Grand Prix,3/31/19,15:10:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,50.5106,26.0325
2019,3,Chinese Grand Prix,4/14/19,06:10:00Z,shanghai,Shanghai International Circuit,Shanghai,China,121.22,31.3389
2019,4,Azerbaijan Grand Prix,4/28/19,12:10:00Z,baku,Baku City Circuit,Baku,Azerbaijan,49.8533,40.3725
2019,5,Spanish Grand Prix,5/12/19,13:10:00Z,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2.26111,41.57
2019,6,Monaco Grand Prix,5/26/19,13:10:00Z,monaco,Circuit de Monaco,Monte-Carlo,Monaco,7.42056,43.7347
2019,7,Canadian Grand Prix,6/9/19,18:10:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,-73.5228,45.5
2019,8,French Grand Prix,6/23/19,13:10:00Z,ricard,Circuit Paul Ricard,Le Castellet,France,5.79167,43.2506
2019,9,Austrian Grand Prix,6/30/19,13:10:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
2019,10,British Grand Prix,7/14/19,13:10:00Z,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
2019,11,German Grand Prix,7/28/19,13:10:00Z,hockenheimring,Hockenheimring,Hockenheim,Germany,8.56583,49.3278
2019,12,Hungarian Grand Prix,8/4/19,13:10:00Z,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
2019,13,Belgian Grand Prix,9/1/19,13:10:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
2019,14,Italian Grand Prix,9/8/19,13:10:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
2019,15,Singapore Grand Prix,9/22/19,12:10:00Z,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,103.864,1.2914
2019,16,Russian Grand Prix,9/29/19,11:10:00Z,sochi,Sochi Autodrom,Sochi,Russia,39.9578,43.4057
2019,17,Japanese Grand Prix,10/13/19,05:10:00Z,suzuka,Suzuka Circuit,Suzuka,Japan,136.541,34.8431
2019,18,Mexican Grand Prix,10/27/19,19:10:00Z,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,-99.0907,19.4042
2019,19,United States Grand Prix,11/3/19,19:10:00Z,americas,Circuit of the Americas,Austin,USA,-97.6411,30.1328
2019,20,Brazilian Grand Prix,11/17/19,17:10:00Z,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-46.6997,-23.7036
2019,21,Abu Dhabi Grand Prix,12/1/19,13:10:00Z,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,54.6031,24.4672
2020,1,Austrian Grand Prix,7/5/20,13:10:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
2020,2,Styrian Grand Prix,7/12/20,13:10:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
2020,3,Hungarian Grand Prix,7/19/20,13:10:00Z,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
2020,4,British Grand Prix,8/2/20,13:10:00Z,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
2020,5,70th Anniversary Grand Prix,8/9/20,13:10:00Z,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
2020,6,Spanish Grand Prix,8/16/20,13:10:00Z,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2.26111,41.57
2020,7,Belgian Grand Prix,8/30/20,13:10:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
2020,8,Italian Grand Prix,9/6/20,13:10:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
2020,9,Tuscan Grand Prix,9/13/20,13:10:00Z,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,11.3719,43.9975
2020,10,Russian Grand Prix,9/27/20,11:10:00Z,sochi,Sochi Autodrom,Sochi,Russia,39.9578,43.4057
2020,11,Eifel Grand Prix,10/11/20,13:10:00Z,nurburgring,Nürburgring,Nürburg,Germany,6.9475,50.3356
2020,12,Portuguese Grand Prix,10/25/20,12:10:00Z,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,-8.6267,37.227
2020,13,Emilia Romagna Grand Prix,11/1/20,12:10:00Z,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,11.7167,44.3439
2020,14,Turkish Grand Prix,11/15/20,10:10:00Z,istanbul,Istanbul Park,Istanbul,Turkey,29.405,40.9517
2020,15,Bahrain Grand Prix,11/29/20,14:10:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,50.5106,26.0325
2020,16,Sakhir Grand Prix,12/6/20,17:10:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,50.5106,26.0325
2020,17,Abu Dhabi Grand Prix,12/13/20,13:10:00Z,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,54.6031,24.4672
2021,1,Bahrain Grand Prix,3/28/21,15:00:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,50.5106,26.0325
2021,2,Emilia Romagna Grand Prix,4/18/21,13:00:00Z,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,11.7167,44.3439
2021,3,Portuguese Grand Prix,5/2/21,14:00:00Z,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,-8.6267,37.227
2021,4,Spanish Grand Prix,5/9/21,13:00:00Z,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2.26111,41.57
2021,5,Monaco Grand Prix,5/23/21,13:00:00Z,monaco,Circuit de Monaco,Monte-Carlo,Monaco,7.42056,43.7347
2021,6,Azerbaijan Grand Prix,6/6/21,12:00:00Z,baku,Baku City Circuit,Baku,Azerbaijan,49.8533,40.3725
2021,7,French Grand Prix,6/20/21,13:00:00Z,ricard,Circuit Paul Ricard,Le Castellet,France,5.79167,43.2506
2021,8,Styrian Grand Prix,6/27/21,13:00:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
2021,9,Austrian Grand Prix,7/4/21,13:00:00Z,red_bull_ring,Red Bull Ring,Spielberg,Austria,14.7647,47.2197
2021,10,British Grand Prix,7/18/21,14:00:00Z,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
2021,11,Hungarian Grand Prix,8/1/21,13:00:00Z,hungaroring,Hungaroring,Budapest,Hungary,19.2486,47.5789
2021,12,Belgian Grand Prix,8/29/21,13:00:00Z,spa,Circuit de Spa-Francorchamps,Spa,Belgium,5.97139,50.4372
2021,13,Dutch Grand Prix,9/5/21,13:00:00Z,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,4.54092,52.3888
2021,14,Italian Grand Prix,9/12/21,13:00:00Z,monza,Autodromo Nazionale di Monza,Monza,Italy,9.28111,45.6156
2021,15,Russian Grand Prix,9/26/21,12:00:00Z,sochi,Sochi Autodrom,Sochi,Russia,39.9578,43.4057
2021,16,Turkish Grand Prix,10/10/21,12:00:00Z,istanbul,Istanbul Park,Istanbul,Turkey,29.405,40.9517
2021,17,United States Grand Prix,10/24/21,19:00:00Z,americas,Circuit of the Americas,Austin,USA,-97.6411,30.1328
2021,18,Mexico City Grand Prix,11/7/21,19:00:00Z,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,-99.0907,19.4042
2021,19,São Paulo Grand Prix,11/14/21,17:00:00Z,interlagos,Autódromo José Carlos Pace,São Paulo,Brazil,-46.6997,-23.7036
2021,20,Qatar Grand Prix,11/21/21,14:00:00Z,losail,Losail International Circuit,Al Daayen,Qatar,51.4542,25.49
2021,21,Saudi Arabian Grand Prix,12/5/21,17:30:00Z,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,39.1044,21.6319
2021,22,Abu Dhabi Grand Prix,12/12/21,13:00:00Z,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,54.6031,24.4672
2022,1,Bahrain Grand Prix,3/20/22,15:00:00Z,bahrain,Bahrain International Circuit,Sakhir,Bahrain,50.5106,26.0325
2022,2,Saudi Arabian Grand Prix,3/27/22,17:00:00Z,jeddah,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,39.1044,21.6319
2022,3,Australian Grand Prix,4/10/22,05:00:00Z,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,144.968,-37.8497
2022,4,Emilia Romagna Grand Prix,4/24/22,13:00:00Z,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,11.7167,44.3439
2022,5,Miami Grand Prix,5/8/22,19:30:00Z,miami,Miami International Autodrome,Miami,USA,-80.2389,25.9581
2022,6,Spanish Grand Prix,5/22/22,13:00:00Z,catalunya,Circuit de Barcelona-Catalunya,Montmeló,Spain,2.26111,41.57
2022,7,Monaco Grand Prix,5/29/22,13:00:00Z,monaco,Circuit de Monaco,Monte-Carlo,Monaco,7.42056,43.7347
2022,8,Azerbaijan Grand Prix,6/12/22,11:00:00Z,baku,Baku City Circuit,Baku,Azerbaijan,49.8533,40.3725
2022,9,Canadian Grand Prix,6/19/22,18:00:00Z,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,-73.5228,45.5
2022,10,British Grand Prix,7/3/22,14:00:00Z,silverstone,Silverstone Circuit,Silverstone,UK,-1.01694,52.0786
